"","start_p10","bathroom_mean_rating","bathroom_min_rating","bathroom_max_rating","kitchen_mean_rating","kitchen_min_rating","kitchen_max_rating","floor_mean_rating","floor_min_rating","floor_max_rating","exterior_mean_rating","exterior_in_rating","exterior_max_rating","floor_nicholas","bathroom_nicholas","kitchen_nicholas","exterior_nicholas","overall_nicholas","floor_miguel","bathroom_miguel","kitchen_miguel","exterior_miguel","overall_miguel"
"881","43598403",16.6666666666667,10,20,35,35,35,18.3333333333333,10,30,55,40,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"882","43600211",20,20,20,15,15,15,30,30,30,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"883","43600567",17.5,15,20,35,35,35,NA,NA,NA,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884","43604079",11.6666666666667,10,15,NA,NA,NA,20,20,20,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"885","43605902",NA,NA,NA,35,35,35,20,20,20,35,35,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"886","43607068",15,15,15,20,20,20,NA,NA,NA,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"887","43610680",22.6666666666667,15,35,31.6666666666667,15,40,20,15,30,27.5,15,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"888","43611767",15,15,15,40,40,40,15,15,15,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"889","43613777",20,20,20,NA,NA,NA,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"890","43615569",15,15,15,NA,NA,NA,NA,NA,NA,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"891","43632097",26.6666666666667,10,40,35,35,35,45,30,65,46.6666666666667,35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"892","43634284",20,20,20,NA,NA,NA,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"893","43635359",56.6666666666667,40,65,26.6666666666667,20,40,23.3333333333333,15,35,37.5,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894","43639779",NA,NA,NA,40,40,40,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895","43640603",15,15,15,40,40,40,10,10,10,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896","43643362",16.6666666666667,15,20,56.6666666666667,40,65,27.5,15,40,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","43661822",20,20,20,40,40,40,23.3333333333333,15,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898","43662572",28.3333333333333,15,35,40,40,40,25,15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"899","43672851",25,15,40,31.6666666666667,20,40,26.6666666666667,15,35,36.6666666666667,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"900","43681503",15,15,15,NA,NA,NA,NA,NA,NA,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
